hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,score_1,score_2,score_3,score_4,trans_1,trans_2,trans_3,trans_4,zscore_1,zscore_2,zscore_3,zscore_4,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
d5f8f2eb46a6e8905fd9098f2fef25e6,ADA ERVIN,US,16,31.0,62.0,87.0,36.0,172 reps,272 reps,126 reps,40 reps,172.0,-1325.2704831932774,-1064.2857142857142,40.0,1.2788065433012958,0.7779995868892524,0.08555268152592635,1.190083430259465,1.0,0.8617148429137513,1.6948254034077361
b798c118779fe91ab06c44ec674903b0,SOPHIE ROBINSON,AU,16,51.0,38.0,71.0,77.0,158 reps,282 reps,130 reps,32 reps,158.0,-1278.275075987842,-1031.5384615384614,32.0,0.73220844920526,0.9886591651192684,0.08943707696436994,0.3756213655354987,1.0,0.8617148429137513,1.4081963571198506
9a19bcf4394fec5a0065f579c5889ace,LILLY WEIR,AU,16,51.0,47.0,80.0,67.0,158 reps,278 reps,129 reps,33 reps,158.0,-1296.6675231243576,-1039.5348837209303,33.0,0.73220844920526,0.9062139776680974,0.08848856179916857,0.4774291236259945,1.0,0.8617148429137513,1.4127998709883816
d4361373aafac760b8e68044835e7777,KATE JOHNSON,US,16,63.0,16.0,95.0,72.0,153 reps,296 reps,124 reps,32 reps,153.0,-1217.8161196911196,-1081.4516129032259,32.0,0.5369948441709614,1.259669865761127,0.08351650649770995,0.3756213655354987,1.0,0.8617148429137513,1.4256654884050755
b0a28fd2671f544569198889080ee834,LILA SMITH,US,16,49.0,16.0,62.0,128.0,159 reps,296 reps,130 reps,27 reps,159.0,-1217.8161196911196,-1031.5384615384614,27.0,0.7712511702121196,1.259669865761127,0.08943707696436994,-0.13341742491698017,1.0,0.8617148429137513,1.3584500149189105
256625de162c1991cc8a6e870e4fb9ce,FLORENCE LEMIEUX,CA,16,76.0,34.0,59.0,92.0,149 reps,284 reps,131 reps,30 reps,149.0,-1269.2731388329978,-1023.6641221374045,30.0,0.38082396014352254,1.0290108589774134,0.09037111098201095,0.17200584935450716,1.0,0.8617148429137513,1.2797677877781148
a5cd572b9b5865e8e6879512ffd33c30,HAYUN KIM,KR,17,37.0,168.0,47.0,11.0,165 reps,234 reps,133 reps,48 reps,165.0,-1540.4853479853477,-1008.2706766917294,48.0,1.005507496253278,-0.18671325085127977,0.09219704214431669,2.004545494983431,1.0,0.8617148429137513,1.5905990385461877
5b62fc78a374e1b8445d427c18d8fba5,SOPHIA NATALE,US,17,85.0,84.0,48.0,51.0,147 reps,264 reps,133 reps,35 reps,147.0,-1365.4301948051948,-1008.2706766917294,35.0,0.3027385181298031,0.5979814018563304,0.09219704214431669,0.681044639806986,1.0,0.8617148429137513,1.2802052433981104
318b01ac188797211cedcc30c7494b51,FIONA GERVAIS,CA,17,43.0,50.0,145.0,41.0,161 reps,277 reps,111 reps,38 reps,161.0,-1301.3486333161422,-1208.1081081081081,38.0,0.849336612225839,0.885230635735579,0.06849283669492409,0.9864679140784733,1.0,0.8617148429137513,1.5590968425974552
8a06e2373494aff52ba221a8001fc2c6,MORGAN MARCHAND,US,17,76.0,70.0,36.0,103.0,149 reps,270 reps,136 reps,30 reps,149.0,-1335.0873015873015,-986.029411764706,30.0,0.38082396014352254,0.7339951416589835,0.0948352441545599,0.17200584935450716,1.0,0.8617148429137513,1.2071298917416446
