hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,score_1,score_2,score_3,score_4,trans_1,trans_2,trans_3,trans_4,zscore_1,zscore_2,zscore_3,zscore_4,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
cb6d2a86dc3fa1a985c184100158fa03,LUIS UMAÑA,CR,68,255.0,205.0,223.0,115.0,104 reps,160 reps,7 reps,35 reps,104.0,160.0,-19028.571428571428,35.0,-1.4602648799695686,-0.32495658923400556,-0.4718317571384505,0.20704815010268207,1.0,0.870171369606868,0.3576701005470324
c8f46dd6aad0f8a36cb6ce42958603e8,EV HAZEL,US,68,250.0,283.0,114.0,155.0,106 reps,126 reps,100 reps,32 reps,106.0,126.0,-1332.0,32.0,-1.3573669164113624,-1.442102947771424,0.31075951871344,-0.11191791897442299,1.0,0.870171369606868,0.22001430349592566
92585451d63ec75d3cb54d78021bc466,DINO CASAGRANDE,US,71,204.0,183.0,134.0,283.0,118 reps,163 reps,95 reps,20 reps,118.0,163.0,-1402.1052631578948,20.0,-0.7399791350621249,-0.226384851715998,0.3076592703088202,-1.3877821952828433,1.0,0.870171369606868,0.3585496416688315
2fbd141d6c594e73b9b4d7f1e7543f29,WAYNE MOORE,US,67,150.0,224.0,238.0,194.0,127 reps,157 reps,2 reps,30 reps,127.0,157.0,-66600.0,30.0,-0.2769382990501968,-0.4235283267520131,-2.575571745987619,-0.32456196502582635,1.0,0.870171369606868,-0.02997871459704582
956b90e79bbed5f2c6832516a90c8ddb,TED LEGER,US,74,227.0,258.0,163.0,172.0,113 reps,145 reps,64 reps,31 reps,113.0,145.0,-2081.25,31.0,-0.9972240439576405,-0.8178152768240431,0.2776256138890656,-0.21823994200012467,1.0,0.870171369606868,0.4312579573836824
58a66b4102025466ed28000a08a5d595,GORDON BULLOCK,GB,71,197.0,189.0,145.0,291.0,119 reps,162 reps,90 reps,20 reps,119.0,162.0,-1480.0,20.0,-0.6885301532830218,-0.25924209755533384,0.3042145498592426,-1.3877821952828433,1.0,0.870171369606868,0.362336395541379
0697f797ac9a0209b8cd2bb59cc47327,TOM COLEMAN,US,68,170.0,189.0,242.0,222.0,124 reps,162 reps,1 reps,27 reps,124.0,162.0,-133200.0,27.0,-0.43128524438750615,-0.25924209755533384,-5.520807730376454,-0.6435280341029315,1.0,0.870171369606868,-0.8435444069986884
7a074186636cd0d75b636d838ca543a8,DAVE MITCHELL,US,68,190.0,245.0,229.0,161.0,120 reps,151 reps,4 reps,32 reps,120.0,151.0,-33300.0,32.0,-0.6370811715039186,-0.620671801788028,-1.102953753793201,-0.11191791897442299,1.0,0.870171369606868,0.2520152080919754
f14be1c31f4953ba251c75a5b048af5c,PERRY CONE,US,71,227.0,196.0,140.0,266.0,113 reps,161 reps,93 reps,21 reps,113.0,161.0,-1432.258064516129,21.0,-0.9972240439576405,-0.2920993433946697,0.30632583013479014,-1.2814601722571415,1.0,0.870171369606868,0.3040569372382027
27076d4a7183f8e30d9ebfe15d50d9e0,ANDREW ROBERTSON,US,66,215.0,267.0,58.0,296.0,115 reps,138 reps,118 reps,20 reps,115.0,138.0,-1128.8135593220338,20.0,-0.8943260803994343,-1.047815997699394,0.3197449844285246,-1.3877821952828433,1.0,0.870171369606868,0.11762654736858125
